Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Romania,52,1,40,0,52
Germany,33,0,33,0,32
United States of America,54,2,30,11,54
,20,1,18,9,20
United Kingdom of Great Britain and Northern Ireland,31,0,31,2,21
United Kingdom of Great Britain and Northern Ireland,50,1,22,7,50
Republic of Moldova,53,1,36,1,53
Japan,44,1,44,1,16
Russian Federation,37,1,35,0,37
Germany,54,1,30,3,54
India,197,1,42,0,197
India,161,1,32,1,161
India,157,1,36,0,157
India,158,1,38,0,158
Thailand,81,0,23,0,81
Sudan,54,1,21,0,54
United States of America,58,2,17,15,58
,163,0,25,0,163
India,151,1,33,0,151
India,409,1,44,0,356
Hungary,71,1,40,1,71
United States of America,40,1,7,6,40
India,186,2,108,1,186
Pakistan,101,1,62,0,101
South Africa,191,7,9,18,191
China,160,1,45,0,160
Russian Federation,38,1,38,0,15
Ukraine,89,1,39,0,89
Guinea,56,1,13,0,56
Bulgaria,51,1,35,2,51
United States of America,74,1,8,13,74
Italy,48,1,48,3,36
Bolivia (Plurinational State of),12,0,12,0,11
United States of America,42,1,28,10,42
India,185,1,55,0,185
Finland,27,1,27,4,19
Myanmar,15,0,15,0,10
Italy,82,1,42,2,82
Russian Federation,33,1,33,2,24
Chile,67,2,10,8,67
Angola,40,1,14,0,40
Germany,33,0,33,1,32
Democratic Republic of the Congo,90,4,20,0,90
India,43,2,21,0,43
Belgium,44,1,24,4,44
Colombia,35,1,15,1,35
India,500,1,42,0,435
India,170,0,33,0,170
Turkey,55,1,29,0,55
Turkey,47,1,36,0,47
Philippines,25,0,15,0,25
India,150,0,27,0,150
Philippines,65,1,22,1,65
India,168,1,42,0,168
Kingdom of Eswatini,75,3,15,1,75
Ukraine,37,1,37,0,13
Afghanistan,151,1,41,0,151
India,50,0,21,0,50
Switzerland,112,1,27,3,112
Peru,49,0,23,0,49
Spain,34,1,17,3,34
Spain,49,1,30,5,49
Mexico,109,3,5,9,109
Spain,53,1,26,7,53
United States of America,72,1,7,14,72
Malaysia,48,1,15,0,48
India,190,4,190,1,164
India,54,0,27,0,54
Indonesia,167,3,123,1,167
Belgium,43,1,25,4,43
France,41,1,26,4,41
Italy,40,1,40,2,20
Mexico,61,1,8,4,61
Italy,35,1,35,3,17
France,60,1,20,6,60
France,62,1,26,1,62
Portugal,28,0,28,2,20
Belgium,42,1,28,4,42
Italy,67,1,36,3,67
United States of America,30,1,30,3,22
Mexico,50,1,14,3,50
Bulgaria,52,1,36,1,52
China,58,1,28,2,58
United States of America,58,1,14,10,58
Malawi,33,0,19,0,33
Pakistan,175,2,145,1,175
Nigeria,138,4,25,4,138
India,162,1,38,0,162
Russian Federation,36,1,36,0,33
India,44,0,23,0,44
Indonesia,105,2,59,1,105
India,213,1,43,0,213
India,169,1,36,0,169
India,265,2,91,1,265
United States of America,49,1,31,6,49
India,68,1,24,0,68
Uzbekistan,69,1,39,0,69
Indonesia,54,1,29,1,54
Finland,23,1,23,6,18
Poland,63,1,24,3,63
France,31,1,31,1,21
Sweden,34,0,33,0,34
Germany,34,0,34,1,31
Peru,46,1,2,0,46
Brazil,32,0,11,2,32
Tunisia,58,1,48,1,58
China,176,4,176,5,129
Zambia,36,0,16,0,36
United States of America,49,1,25,11,49
Morocco,59,2,16,4,59
India,180,2,151,1,180
Ireland,27,0,27,0,13
Pakistan,194,3,176,2,194
Ghana,74,2,17,1,74
Japan,35,1,35,1,13
Spain,29,1,29,2,20
India,54,0,25,0,54
United States of America,58,2,18,21,58
India,89,1,25,1,89
Netherlands,42,0,35,1,42
Russian Federation,36,1,25,7,36
India,91,0,25,0,91
,30,0,27,0,30
China,206,7,206,9,167
Hungary,67,1,38,2,67
France,51,1,22,5,51
Pakistan,162,1,37,0,162
India,187,2,106,1,187
India,157,3,157,1,126
Pakistan,163,1,71,1,163
India,87,1,36,0,87
Thailand,32,0,16,0,32
,55,1,38,2,55
France,85,0,25,0,85
